epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5630.03,0.96425,0.43622,0.00261,0.91176,0.90401,0.94845,0.75345,0.9092,0.4517,0.00312,0.000660045,0.000660045,0.000660045
43,5762.35,0.96652,0.43483,0.00258,0.92095,0.89016,0.9428,0.74254,0.91126,0.47324,0.00313,0.000649046,0.000649046,0.000649046
44,5894.63,0.95305,0.42859,0.00258,0.91883,0.89885,0.94811,0.75129,0.90558,0.46061,0.00311,0.000638047,0.000638047,0.000638047
45,6027.07,0.94991,0.42898,0.00257,0.91692,0.90408,0.94654,0.75287,0.90038,0.45725,0.00311,0.000627048,0.000627048,0.000627048
46,6159.32,0.94049,0.42443,0.00254,0.91834,0.8985,0.94624,0.75494,0.89895,0.45863,0.0031,0.000616049,0.000616049,0.000616049
47,6293.22,0.94017,0.41863,0.00251,0.90028,0.92167,0.94938,0.75777,0.89065,0.46243,0.00307,0.000605051,0.000605051,0.000605051
48,6427.1,0.93171,0.41327,0.00249,0.93032,0.8991,0.95093,0.75757,0.88121,0.44852,0.00305,0.000594052,0.000594052,0.000594052
49,6560.34,0.92287,0.4067,0.00249,0.92306,0.91046,0.95107,0.76399,0.87996,0.45828,0.00302,0.000583053,0.000583053,0.000583053
50,6692.85,0.91087,0.40178,0.00245,0.92403,0.91323,0.95088,0.76391,0.86706,0.45072,0.00299,0.000572054,0.000572054,0.000572054
51,6825.13,0.91244,0.4065,0.00244,0.91994,0.90741,0.95162,0.76582,0.87588,0.44999,0.00302,0.000561055,0.000561055,0.000561055
52,6957.42,0.90018,0.39884,0.00241,0.92091,0.90846,0.94976,0.76596,0.8706,0.44774,0.00299,0.000550056,0.000550056,0.000550056
53,7089.51,0.9041,0.40306,0.00242,0.93041,0.89426,0.95246,0.76917,0.87638,0.44672,0.00302,0.000539057,0.000539057,0.000539057
54,7221.65,0.89044,0.39355,0.00239,0.92743,0.91117,0.95494,0.77251,0.86322,0.44023,0.00298,0.000528058,0.000528058,0.000528058
55,7355.34,0.88426,0.38721,0.00234,0.91916,0.91042,0.95225,0.77164,0.86419,0.45578,0.00296,0.000517059,0.000517059,0.000517059
56,7488.7,0.8781,0.38451,0.00233,0.91752,0.92151,0.9546,0.77265,0.8584,0.43888,0.00295,0.00050606,0.00050606,0.00050606
57,7621.75,0.87478,0.38189,0.00229,0.93166,0.9096,0.95449,0.77643,0.85654,0.44489,0.00294,0.000495062,0.000495062,0.000495062
58,7755.31,0.87403,0.38165,0.0023,0.92668,0.90843,0.9538,0.77612,0.85224,0.44538,0.00293,0.000484063,0.000484063,0.000484063
59,7889.1,0.86527,0.37921,0.00228,0.92456,0.9088,0.95275,0.77962,0.84705,0.4442,0.0029,0.000473064,0.000473064,0.000473064
60,8023.2,0.86107,0.37272,0.00225,0.93019,0.91221,0.95234,0.77756,0.84493,0.45117,0.0029,0.000462065,0.000462065,0.000462065
61,8156.51,0.8496,0.37272,0.00223,0.91917,0.91928,0.9545,0.77939,0.83869,0.43324,0.0029,0.000451066,0.000451066,0.000451066
62,8289.12,0.84526,0.36332,0.00223,0.91925,0.91971,0.95185,0.77854,0.83624,0.44891,0.00288,0.000440067,0.000440067,0.000440067
63,8422.19,0.84572,0.36527,0.00221,0.92513,0.91542,0.95234,0.78097,0.83206,0.44535,0.00287,0.000429068,0.000429068,0.000429068
64,8555.66,0.83487,0.35832,0.0022,0.93285,0.91549,0.9537,0.78299,0.82385,0.44675,0.00284,0.000418069,0.000418069,0.000418069
65,8689.1,0.83863,0.35998,0.00216,0.93192,0.9157,0.9539,0.78328,0.82686,0.44447,0.00285,0.00040707,0.00040707,0.00040707
66,8821.62,0.82737,0.35558,0.00215,0.93237,0.90734,0.95353,0.78224,0.8253,0.45033,0.00284,0.000396071,0.000396071,0.000396071
67,8953.96,0.82167,0.35582,0.00213,0.93692,0.91249,0.95343,0.78516,0.81638,0.4422,0.00282,0.000385073,0.000385073,0.000385073
68,9085.98,0.8171,0.35166,0.00213,0.93657,0.91684,0.95416,0.7869,0.81539,0.43532,0.00281,0.000374074,0.000374074,0.000374074
69,9218.52,0.81025,0.34821,0.00211,0.92329,0.91747,0.95116,0.78526,0.81457,0.44693,0.00282,0.000363075,0.000363075,0.000363075
70,9350.55,0.80888,0.34238,0.0021,0.92142,0.92512,0.95398,0.79018,0.81031,0.44491,0.00278,0.000352076,0.000352076,0.000352076
71,9482.64,0.80271,0.34579,0.00205,0.93549,0.90988,0.95258,0.78803,0.80885,0.43807,0.00278,0.000341077,0.000341077,0.000341077
72,9614.93,0.80363,0.34098,0.00205,0.93474,0.90999,0.95328,0.79239,0.8035,0.43552,0.00277,0.000330078,0.000330078,0.000330078
73,9747.19,0.79642,0.33695,0.00206,0.93241,0.90969,0.9533,0.78944,0.80325,0.44083,0.00277,0.000319079,0.000319079,0.000319079
74,9879.52,0.79678,0.338,0.00203,0.93651,0.91827,0.95563,0.79409,0.80154,0.43697,0.00277,0.00030808,0.00030808,0.00030808
75,10011.8,0.79027,0.33528,0.00205,0.93052,0.91808,0.95417,0.79307,0.79853,0.43959,0.00275,0.000297081,0.000297081,0.000297081
76,10144.3,0.78092,0.32903,0.00201,0.92395,0.92077,0.95312,0.78995,0.80012,0.44417,0.00275,0.000286083,0.000286083,0.000286083
77,10277.2,0.78181,0.33112,0.002,0.92325,0.92116,0.95311,0.79528,0.79574,0.43809,0.00274,0.000275084,0.000275084,0.000275084
78,10409.9,0.77786,0.32981,0.00198,0.9314,0.91614,0.95339,0.79635,0.79362,0.44051,0.00274,0.000264085,0.000264085,0.000264085
79,10542.4,0.76695,0.32483,0.00197,0.94279,0.9049,0.95461,0.79825,0.79358,0.43221,0.00273,0.000253086,0.000253086,0.000253086
80,10676.8,0.76687,0.32556,0.00194,0.94169,0.91296,0.95493,0.79863,0.7915,0.43734,0.00273,0.000242087,0.000242087,0.000242087
81,10809.3,0.76571,0.32132,0.00193,0.93399,0.91499,0.95511,0.79979,0.78926,0.43907,0.00272,0.000231088,0.000231088,0.000231088
82,10941.4,0.75279,0.31803,0.00191,0.94094,0.90729,0.95406,0.80007,0.787,0.43873,0.00271,0.000220089,0.000220089,0.000220089
83,11073.4,0.75452,0.3188,0.00191,0.94033,0.91206,0.95435,0.80014,0.78416,0.44635,0.0027,0.00020909,0.00020909,0.00020909
84,11205.2,0.74661,0.31494,0.0019,0.93029,0.91361,0.95353,0.79814,0.78265,0.44311,0.00269,0.000198091,0.000198091,0.000198091
85,11337.4,0.74394,0.31474,0.00187,0.94032,0.91534,0.95542,0.80246,0.77901,0.43315,0.00269,0.000187092,0.000187092,0.000187092
86,11469.7,0.7414,0.3124,0.00187,0.93681,0.91592,0.9557,0.80525,0.78018,0.43539,0.00269,0.000176094,0.000176094,0.000176094
87,11601.7,0.736,0.31021,0.00187,0.93162,0.9162,0.95488,0.80165,0.77934,0.43778,0.00268,0.000165095,0.000165095,0.000165095
88,11733.6,0.73088,0.30536,0.00186,0.93191,0.92305,0.95578,0.80436,0.77499,0.43853,0.00267,0.000154096,0.000154096,0.000154096
89,11865.8,0.73752,0.30839,0.00185,0.9326,0.92177,0.95572,0.8044,0.77319,0.43888,0.00267,0.000143097,0.000143097,0.000143097
90,11997.8,0.73308,0.30603,0.00184,0.93998,0.91348,0.95496,0.80508,0.77279,0.44131,0.00267,0.000132098,0.000132098,0.000132098
91,12127.3,0.63981,0.2478,0.00184,0.93565,0.91406,0.95691,0.80214,0.77798,0.44324,0.00268,0.000121099,0.000121099,0.000121099
92,12255.9,0.62219,0.23955,0.00179,0.93839,0.9129,0.95601,0.80191,0.77855,0.44245,0.00267,0.0001101,0.0001101,0.0001101
93,12384.6,0.61275,0.23702,0.00174,0.93503,0.91519,0.95681,0.80248,0.77507,0.44295,0.00266,9.91012e-05,9.91012e-05,9.91012e-05
94,12513.1,0.61218,0.23896,0.00174,0.93498,0.91633,0.95614,0.80348,0.77548,0.44556,0.00265,8.81023e-05,8.81023e-05,8.81023e-05
95,12641.7,0.60112,0.23317,0.00172,0.94337,0.90963,0.95553,0.80359,0.77264,0.44327,0.00265,7.71034e-05,7.71034e-05,7.71034e-05
96,12770.3,0.60019,0.23177,0.0017,0.93879,0.91094,0.95629,0.80597,0.77118,0.44634,0.00265,6.61045e-05,6.61045e-05,6.61045e-05
97,12899,0.60394,0.23527,0.00169,0.93568,0.91297,0.95556,0.8057,0.77027,0.44758,0.00264,5.51056e-05,5.51056e-05,5.51056e-05
98,13027.5,0.594,0.22976,0.00168,0.94388,0.90804,0.956,0.80664,0.76853,0.44554,0.00264,4.41067e-05,4.41067e-05,4.41067e-05
99,13156.5,0.59188,0.23061,0.00168,0.94163,0.91163,0.95566,0.8068,0.76859,0.44444,0.00264,3.31078e-05,3.31078e-05,3.31078e-05
100,13285.1,0.58863,0.22644,0.00165,0.94128,0.91461,0.95571,0.80634,0.76735,0.44604,0.00263,2.21089e-05,2.21089e-05,2.21089e-05
